iter	Passed	Remaining
479	608	659
480	609	657
481	610	655
482	610	653
483	612	652
484	612	650
485	613	649
486	614	647
487	615	645
488	616	644
489	617	642
490	618	641
491	619	639
492	620	637
493	620	636
494	621	634
495	622	632
496	623	631
497	624	629
498	625	627
499	626	626
500	627	624
501	628	623
502	629	622
503	630	620
504	632	619
505	633	618
506	634	616
507	635	615
508	636	613
509	637	612
510	638	610
511	639	609
512	640	607
513	641	606
514	642	604
515	643	603
516	644	602
517	645	600
518	646	599
519	647	597
520	648	596
521	649	594
522	650	593
523	651	591
524	652	590
525	653	588
526	654	587
527	655	586
528	656	584
529	657	583
530	658	581
531	659	579
532	660	578
533	660	576
534	661	575
535	662	573
536	663	572
537	664	570
538	665	568
539	666	567
540	666	565
541	667	564
542	668	562
543	669	561
544	670	560
545	671	558
546	672	557
547	673	555
548	674	554
549	675	552
550	676	551
551	677	549
552	677	547
553	678	546
554	679	544
555	680	543
556	681	541
557	682	540
558	682	538
559	683	537
560	684	536
561	685	534
562	686	533
563	687	531
564	688	530
565	689	528
566	690	527
567	691	525
568	692	524
569	693	522
570	694	521
571	695	520
572	695	518
573	696	517
574	697	515
575	698	514
576	699	513
577	701	511
578	702	510
579	703	509
580	704	507
581	705	506
582	706	505
583	707	503
584	708	502
585	708	500
586	709	499
587	710	498
588	711	496
589	712	495
590	713	493
591	714	492
592	715	491
593	716	489
594	717	488
595	718	486
596	719	485
597	719	484
598	720	482
599	721	481
600	722	479
601	723	478
602	724	476
603	725	475
604	726	474
605	727	473
606	728	471
607	729	470
608	730	469
609	731	467
610	732	466
611	733	465
612	734	463
613	735	462
614	736	461
615	737	459
616	738	458
617	739	457
618	740	455
619	741	454
620	742	453
621	743	451
622	744	450
623	745	449
624	746	447
625	747	446
626	748	445
627	749	443
628	750	442
629	751	441
630	753	440
631	754	439
632	755	437
633	756	436
634	757	435
635	758	433
636	759	432
637	760	431
638	761	430
639	762	428
640	763	427
641	764	426
642	765	425
643	766	423
644	767	422
645	769	421
646	770	420
647	771	418
648	771	417
649	773	416
650	774	415
651	775	413
652	776	412
653	777	411
654	778	410
655	779	408
656	780	407
657	782	406
658	782	405
659	783	403
660	784	402
661	785	401
662	786	399
663	787	398
664	788	397
665	789	395
666	790	394
667	791	393
668	793	392
669	794	391
670	795	389
671	796	388
672	797	387
673	797	385
674	798	384
675	799	383
676	800	382
677	801	380
678	802	379
679	803	378
680	804	376
681	805	375
682	806	374
683	807	373
684	808	372
685	809	370
686	810	369
687	811	368
688	812	366
689	813	365
690	814	364
691	815	362
692	816	361
693	817	360
694	818	359
695	819	358
696	820	356
697	821	355
698	822	354
699	823	352
700	824	351
701	825	350
702	826	349
703	827	347
704	828	346
705	829	345
706	829	343
707	830	342
708	832	341
709	833	340
710	834	339
711	835	337
712	836	336
713	837	335
714	838	334
715	839	332
716	840	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	847	321
725	848	320
726	849	319
727	850	317
728	851	316
729	852	315
730	853	314
731	855	313
732	856	311
733	857	310
734	858	309
735	859	308
736	860	306
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	869	296
746	870	294
747	871	293
748	872	292
749	873	291
750	874	289
751	875	288
752	876	287
753	877	286
754	878	285
755	879	283
756	880	282
757	881	281
758	882	280
759	883	279
760	884	277
761	885	276
762	886	275
763	887	274
764	888	272
765	889	271
766	890	270
767	891	269
768	892	267
769	893	266
770	893	265
771	895	264
772	896	263
773	897	261
774	898	260
775	898	259
776	899	258
777	900	256
778	901	255
779	902	254
780	903	253
781	904	252
782	905	250
783	906	249
784	907	248
785	908	247
786	909	246
787	910	245
788	911	243
789	912	242
790	913	241
791	914	240
792	915	238
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	922	230
800	923	229
801	924	228
802	925	226
803	926	225
804	927	224
805	927	223
806	928	222
807	929	220
808	931	219
809	932	218
810	933	217
811	934	216
812	935	215
813	936	213
814	937	212
815	938	211
816	939	210
817	940	209
818	941	207
819	941	206
820	942	205
821	943	204
822	944	203
823	945	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	952	195
830	953	193
831	954	192
832	955	191
833	956	190
834	957	189
835	958	188
836	959	186
837	960	185
838	961	184
839	962	183
840	963	182
841	964	180
842	965	179
843	966	178
844	967	177
845	968	176
846	969	175
847	970	173
848	971	172
849	972	171
850	973	170
851	974	169
852	975	168
853	976	166
854	977	165
855	978	164
856	979	163
857	980	162
858	981	161
859	982	159
860	983	158
861	984	157
862	985	156
863	986	155
864	987	154
865	988	152
866	989	151
867	990	150
868	991	149
869	992	148
870	993	147
871	994	146
872	996	144
873	997	143
874	998	142
875	999	141
876	1000	140
877	1001	139
878	1002	138
879	1003	136
880	1005	135
881	1005	134
